id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc,models_ensemble_count
openml.org/t/168757,credit-g,autosklearn,1h8c_gp3,7,binary,0.854762,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:50,3661.8,3617.6,1.2,21.0,1229737994,,0.77,0.62619,0.476282,0.854762,
openml.org/t/359954,eucalyptus,autosklearn,1h8c_gp3,6,multiclass,-0.926499,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:51,3658.8,3613.8,0.3,7.0,1229737993,,0.60274,0.572743,0.926499,,
openml.org/t/359961,mfeat-factors,autosklearn,1h8c_gp3,8,multiclass,-0.0895392,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:51,3642.3,3596.5,0.5,8.0,1229737995,,0.985,0.985,0.0895392,,
openml.org/t/359961,mfeat-factors,autosklearn,1h8c_gp3,6,multiclass,-0.0426975,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:52,3652.5,3607.0,0.3,7.0,1229737993,,0.985,0.985,0.0426975,,
openml.org/t/359955,blood-transfusion-service-center,autosklearn,1h8c_gp3,4,binary,0.809942,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:53,3651.9,3610.0,0.0,17.0,1229737991,,0.773333,0.565789,0.443032,0.809942,
openml.org/t/359961,mfeat-factors,autosklearn,1h8c_gp3,7,multiclass,-0.0826113,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:53,3651.2,3604.7,0.7,7.0,1229737994,,0.97,0.97,0.0826113,,
openml.org/t/190137,ozone-level-8hr,autosklearn,1h8c_gp3,8,binary,0.895306,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:08:54,3650.3,3606.6,0.8,20.0,1229737995,,0.940711,0.618671,0.382596,0.895306,
openml.org/t/167120,numerai28_6,mljarsupervised_benchmark,1h8c_gp3,9,binary,0.528696,auc,aws.docker,0.11.0,{'mode': 'Compete'},2.0.2,2021-11-22T23:09:01,3792.2,3719.0,61.6,56.0,1835214309,,0.51713,0.517431,0.6917,0.528696,
openml.org/t/168909,dilbert,autosklearn,1h8c_gp3,8,multiclass,-0.0276854,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:05,3682.7,3601.9,4.1,5.0,1229737995,,0.992,0.992067,0.0276854,,
openml.org/t/359962,kc1,autosklearn,1h8c_gp3,1,binary,0.861732,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:08,3651.0,3606.3,1.2,18.0,1229737988,,0.881517,0.686365,0.32142,0.861732,
